overall_rank,pos_rank,name,position,team,tier,value_tier,ppg,season_value,vorp,ecr,composite_adp,room_adp,gap,gap_z,p_avail_next,vona,flags,depth_rank,e_games
29,13,Emeka Egbuka,WR,TB,3,7,12.00,190.9,66.6,40.74,41.07,37.0,10.0,2.703,1.0,-36.57,new_play_caller|value,1,14.2
30,16,Breece Hall,RB,NYJ,4,12,11.89,186.3,66.1,39.52,32.43,31.0,3.0,0.75,1.0,-47.63,new_play_caller,1,13.7
31,1,Trey McBride,TE,ARI,1,1,11.79,188.8,64.3,18.5,31.07,29.0,0.0,0.0,0.9864,0.03,new_play_caller,1,14.4
32,17,D'Andre Swift,RB,CHI,5,12,11.71,183.7,63.5,52.39,44.57,40.0,10.0,1.923,1.0,-50.21,injury_prone,1,13.7
33,14,Zay Flowers,WR,BAL,3,8,11.77,187.6,63.3,29.64,32.73,32.0,1.0,0.4,1.0,-39.81,new_play_caller,1,14.2
34,15,Chris Olave,WR,NO,2,8,11.72,186.9,62.6,17.37,28.13,25.0,-7.0,-2.414,1.0,-40.53,injury_prone,1,13.95
35,2,Brock Bowers,TE,LV,1,1,11.65,186.8,62.3,21.2,28.37,27.0,-6.0,-0.714,0.9785,-1.98,new_play_caller|qb_uncertain_team,1,14.4
36,18,David Montgomery,RB,HOU,6,13,11.66,180.8,60.6,60.31,50.83,44.0,10.0,2.041,1.0,-53.12,sleeper,1,13.2
37,16,Tee Higgins,WR,CIN,3,8,11.58,184.8,60.5,36.7,35.6,33.0,-2.0,-0.541,1.0,-42.59,injury_prone,2,13.85
38,19,Jeremiyah Love,RB,ARI,4,13,11.44,180.1,59.9,40.1,28.7,28.0,-8.0,-2.667,1.0,-53.81,rookie|new_play_caller,1,13.7
